id;nome;descricao
1;Do Lar;
2;Gerente;
3;Estudante;
4;Empresária;
5;Produtora Rural;
6;Pesquisadora;
7;Assistente Adminstrativo;
8;Assessora Jurídica;
9;Recepcionista;
10;Bancária;
11;Balconista;
12;Manicure;
13;Cabeireira;
14;Massagista;
15;Maquiadora;
16;Depiladora;
17;Analista;
